unique_id,ds,y
SKU_01,2022-01-06,299.0
SKU_01,2022-01-07,324.0
SKU_01,2022-01-08,15.0
SKU_01,2022-01-09,23.0
SKU_01,2022-01-10,316.0
SKU_01,2022-01-11,225.0
SKU_01,2022-01-12,241.0
SKU_01,2022-01-13,242.0
SKU_01,2022-01-14,228.0
SKU_01,2022-01-15,22.0
SKU_01,2022-01-16,59.0
SKU_01,2022-01-17,345.0
SKU_01,2022-01-18,239.0
SKU_01,2022-01-19,248.0
SKU_01,2022-01-20,208.0
SKU_01,2022-01-21,223.0
SKU_01,2022-01-22,42.0
SKU_01,2022-01-23,13.0
SKU_01,2022-01-24,283.0
SKU_01,2022-01-25,195.0
SKU_01,2022-01-26,250.0
SKU_01,2022-01-27,241.0
SKU_01,2022-01-28,224.0
SKU_01,2022-01-29,53.0
SKU_01,2022-01-30,8.0
SKU_01,2022-01-31,227.0
SKU_01,2022-02-01,223.0
SKU_01,2022-02-02,272.0
SKU_01,2022-02-03,257.0
SKU_01,2022-02-04,183.0
SKU_01,2022-02-05,40.0
SKU_01,2022-02-06,21.0
SKU_01,2022-02-07,258.0
SKU_01,2022-02-08,268.0
SKU_01,2022-02-09,284.0
SKU_01,2022-02-10,260.0
SKU_01,2022-02-11,216.0
SKU_01,2022-02-12,29.0
SKU_01,2022-02-13,18.0
SKU_01,2022-02-14,283.0
SKU_01,2022-02-15,270.0
SKU_01,2022-02-16,209.0
SKU_01,2022-02-17,361.0
SKU_01,2022-02-18,130.0
SKU_01,2022-02-19,21.0
SKU_01,2022-02-20,16.0
SKU_01,2022-02-21,189.0
SKU_01,2022-02-22,168.0
SKU_01,2022-02-23,194.0
SKU_01,2022-02-24,113.0
SKU_01,2022-02-25,191.0
SKU_01,2022-02-26,24.0
SKU_01,2022-02-27,3.0
SKU_01,2022-02-28,73.0
SKU_01,2022-03-01,54.0
SKU_01,2022-03-02,196.0
SKU_01,2022-03-03,208.0
SKU_01,2022-03-04,260.0
SKU_01,2022-03-05,29.0
SKU_01,2022-03-06,16.0
SKU_01,2022-03-07,178.0
SKU_01,2022-03-08,219.0
SKU_01,2022-03-09,294.0
SKU_01,2022-03-10,150.0
SKU_01,2022-03-11,305.0
SKU_01,2022-03-12,31.0
SKU_01,2022-03-13,16.0
SKU_01,2022-03-14,305.0
SKU_01,2022-03-15,391.0
SKU_01,2022-03-16,175.0
SKU_01,2022-03-17,241.0
SKU_01,2022-03-18,180.0
SKU_01,2022-03-19,24.0
SKU_01,2022-03-20,27.0
SKU_01,2022-03-21,240.0
SKU_01,2022-03-22,360.0
SKU_01,2022-03-23,344.0
SKU_01,2022-03-24,228.0
SKU_01,2022-03-25,460.0
SKU_01,2022-03-26,21.0
SKU_01,2022-03-27,18.0
SKU_01,2022-03-28,254.0
SKU_01,2022-03-29,238.0
SKU_01,2022-03-30,284.0
SKU_01,2022-03-31,231.0
SKU_01,2022-04-01,295.0
SKU_01,2022-04-02,31.0
SKU_01,2022-04-03,32.0
SKU_01,2022-04-04,206.0
SKU_01,2022-04-05,249.0
SKU_01,2022-04-06,232.0
SKU_01,2022-04-07,277.0
SKU_01,2022-04-08,193.0
SKU_01,2022-04-09,15.0
SKU_01,2022-04-10,18.0
SKU_01,2022-04-11,188.0
SKU_01,2022-04-12,194.0
SKU_01,2022-04-13,166.0
SKU_01,2022-04-14,274.0
SKU_01,2022-04-15,9.0
SKU_01,2022-04-16,26.0
SKU_01,2022-04-17,25.0
SKU_01,2022-04-18,200.0
SKU_01,2022-04-19,213.0
SKU_01,2022-04-20,256.0
SKU_01,2022-04-21,32.0
SKU_01,2022-04-22,244.0
SKU_01,2022-04-23,36.0
SKU_01,2022-04-24,17.0
SKU_01,2022-04-25,195.0
